UniqueID,DateTime,Location_Cleaned,Operator_Cleaned,Flight #,Route,Aircraft Type,Registration,Total_Aboard,Passengers_Aboard,Crew_Aboard,Total_Fatalities,Passengers_Fatalities,Crew_Fatalities,Summary
a389758aa95cd7da2dae16cac45c2801,1909-09-07 00:00:00,"Juvisy-sur-Orge, France",Unknown Operator,Unknown,Air show,Wright Byplane,SC1,1,0,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
6ceeb24c8eefbaeaefe5af90e7c3c64e,1912-07-12 06:30:00,"Atlantic City, New Jersey",Military - U.S. Navy,Unknown,Test flight,Dirigible,Unknown,5,0,5,5,0,5,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
94a4fa141b55bea0ef4739c106046c31,1913-08-06 00:00:00,"Victoria, British Columbia, Canada",Private,Unknown,Unknown,Curtiss seaplane,Unknown,1,0,1,1,0,1,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
bb474bbfd2dc8e7d5abf03bae8c30c9f,1913-09-09 18:30:00,Over the North Sea,Military - German Navy,Unknown,Unknown,Zeppelin L-1 (airship),Unknown,0,0,0,0,0,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
94a61c47ec0b9982292fd1e4f1e058ba,1913-10-17 10:30:00,"Johannisthal, Germany",Military - German Navy,Unknown,Unknown,Zeppelin L-2 (airship),Unknown,0,0,0,0,0,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
72c893f34c88e4d5fc1e1fa0ea8aad4f,1915-03-05 01:00:00,"Tienen, Belgium",Military - German Navy,Unknown,Unknown,Zeppelin L-8 (airship),Unknown,41,0,41,17,0,17,Crashed into trees while attempting to land after being shot down by British and French aircraft.
125e073d3376bb83b2449bbae2e9b9c6,1915-09-03 15:20:00,"Off Cuxhaven, Germany",Military - German Navy,Unknown,Unknown,Zeppelin L-10 (airship),Unknown,0,0,0,0,0,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
7e4595d3b3ba09cdf149263cb0aae6a1,1916-07-28 00:00:00,"Jambol, Bulgeria",Military - German Army,Unknown,Unknown,Schutte-Lanz S-L-10 (airship),Unknown,0,0,0,0,0,0,"Crashed near the Black Sea, cause unknown."
4b7ffcabe3bfc077ad2afcd3c6e5890a,1916-09-24 01:00:00,"Billericay, England",Military - German Navy,Unknown,Unknown,Zeppelin L-32 (airship),Unknown,0,0,0,0,0,0,Shot down by British aircraft crashing in flames.
7d8a7b3df478b104ca5ab4ab0ea8a4c4,1916-10-01 23:45:00,"Potters Bar, England",Military - German Navy,Unknown,Unknown,Zeppelin L-31 (airship),Unknown,19,0,19,19,0,19,Shot down in flames by the British 39th Home Defence Squadron.
3cfea427c3844c0dead2e1d4ede45af8,1916-11-21 00:00:00,"Mainz, Germany",Military - German Army,Unknown,Unknown,Super Zeppelin (airship),Unknown,0,0,0,0,0,0,Crashed in a storm.
e3de6738ea953420cce9bfaad50accc0,1916-11-28 23:45:00,"Off West Hartlepool, England",Military - German Navy,Unknown,Unknown,Zeppelin L-34 (airship),Unknown,0,0,0,0,0,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
53edf03ea1ab063aa811ef4472e0515a,1917-03-04 00:00:00,"Gent, Belgium",Military - German Army,Unknown,Unknown,Airship,Unknown,0,0,0,0,0,0,Caught fire and crashed.
068dc4492ddb161c6132ac891c59d580,1917-03-30 00:00:00,Off Northern Germany,Military - German Navy,Unknown,Unknown,Schutte-Lanz S-L-9 (airship),Unknown,0,0,0,0,0,0,Struck by lightning and crashed into the Baltic Sea.
446a31942f3f058cb752a6501b37cee2,1917-05-14 05:15:00,"Texel Island, North Sea",Military - German Navy,Unknown,Unknown,Zeppelin L-22 (airship),Unknown,0,0,0,0,0,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
50894f4da828b0d1826a8752140eccb3,1917-06-14 08:45:00,"Off Vlieland Island, North Sea",Military - German Navy,Unknown,Unknown,Zeppelin L-43 (airship),Unknown,0,0,0,0,0,0,Shot down by British aircraft.
76b414baf66aba054a17962637951e60,1917-06-17 00:00:00,"Yarmouth, England",Unknown Operator,Unknown,Unknown,Zepplin L-48 (air ship),L-48,0,0,0,0,0,0,Shot down by aircraft.
5f11670c96c8dca7181e9b50e26e5c15,1917-08-21 07:00:00,Off western Denmark,Military - German Navy,Unknown,Unknown,Zeppelin L-23 (airship),Unknown,0,0,0,0,0,0,Shot down by British aircraft.
0d63c674d00309a49ce16b189281fd06,1917-10-20 07:45:00,"Luneville, France",Military - German Navy,Unknown,Unknown,Zeppelin L-44 (airship),Unknown,0,0,0,0,0,0,Shot down by French anti-aircraft fire.
4d0340e6db2ff925ba9f07dcb87d95c8,1918-04-07 21:30:00,Over the Mediterranean,Military - German Navy,Unknown,Unknown,Zeppelin L-59 (airship),Unknown,0,0,0,0,0,0,Exploded and crashed into the sea off the southern coast of Italy.
60951beb3c795abb6feeba0528a804ca,1918-08-05 00:00:00,"Off Helgoland Island, Germany",Military - German Navy,Unknown,Unknown,Zeppelin L-70 (airship),Unknown,0,0,0,0,0,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
89dc0d350f3b7752a8c7af2e6c309ade,1918-08-11 10:00:00,"Ameland Island, North Sea",Military - German Navy,Unknown,Unknown,Zeppelin L-53 (airship),Unknown,0,0,0,0,0,0,Shot down by british aircraft.
8fc794bc9976018c8149a27f4463a0d4,1918-12-16 00:00:00,"Elizabeth, New Jersey",US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,97,1,0,1,1,0,1,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
b58d0363a7463548c02225206dfcaf96,1919-05-25 00:00:00,"Cleveland, Ohio",US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,61,1,0,1,1,0,1,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
10434d81d15dd92dbeee40bc21cda979,1919-07-19 00:00:00,"Dix Run, Pennsylvania",US Aerial Mail Service,Unknown,Unknown,De Havilland DH-4,82,1,0,1,1,0,1,The mail plane crashed under unknown circumstances.
7d0714223840b30f21bbdd1628c6f5a5,1919-07-21 16:55:00,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Unknown,Shuttle,FD Type Dirigible,Unknown,0,0,0,3,2,1,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
d3923fff068288ff554956b91d93ab9f,1919-08-02 00:00:00,"Verona, Italy",Caproni Company,Unknown,Venice  Taliedo,Caproni Ca.48,Unknown,14,12,2,14,12,2,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
6374ff99b4a5ed66e9c76b6e81db875b,1919-10-02 00:00:00,"Newcastle, England",Aircraft Transport and Travel,Unknown,Unknown,De Havilland DH-4,Unknown,1,0,1,1,0,1,?
6d82b4411b7eeeaf5121346a577f1986,1919-10-14 00:00:00,"Cantonsville, Maryland",US Aerial Mail Service,Unknown,Unknown,Curtiss R-4LM,32,1,0,1,1,0,1,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
dc1ae2ab665b910d811dddcf8e2cf3ff,1919-10-20 00:00:00,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,Unknown,Unknown,De Havilland DH-4,G-EAHG,1,0,1,0,0,0,Crashed into the sea while attempting to land in fog.
